year,games,score,team
1987,G3,109,Celtics
1987,G4,107,Lakers
1987,G4,106,Celtics
1987,G5,108,Lakers
1987,G5,123,Celtics
1987,G6,93,Celtics
1987,G6,106,Lakers
1988,G1,105,Pistons
1988,G1,93,Lakers
1988,G2,96,Pistons
1988,G2,108,Lakers
1988,G3,99,Lakers
1988,G3,86,Pistons
1988,G4,86,Lakers
1988,G4,111,Pistons
1988,G5,94,Lakers
1988,G5,104,Pistons
1988,G6,102,Pistons
1988,G6,103,Lakers
1988,G7,105,Pistons
1988,G7,108,Lakers
1989,G1,97,Lakers
1989,G1,109,Pistons
1989,G2,105,Lakers
1989,G2,108,Pistons
1989,G3,114,Pistons
1989,G3,110,Lakers
1989,G4,105,Pistons
1989,G4,97,Lakers
1990,G1,99,TrailBlazers
1990,G1,105,Pistons
1990,G2,106,TrailBlazers
1990,G2,105,Pistons
1990,G3,121,Pistons
1990,G3,106,TrailBlazers
1990,G4,112,Pistons
1990,G4,109,TrailBlazers
1990,G5,92,Pistons
1990,G5,90,TrailBlazers
1991,G1,93,Lakers
1991,G1,91,Bulls
1991,G2,86,Lakers
1991,G2,107,Bulls
1991,G3,104,Bulls
1991,G3,96,Lakers
1991,G4,97,Bulls
1991,G4,82,Lakers
1991,G5,108,Bulls
1991,G5,101,Lakers
1992,G1,89,TrailBlazers
1992,G1,122,Bulls
1992,G2,115,TrailBlazers
1992,G2,104,Bulls
1992,G3,94,Bulls
1992,G3,84,TrailBlazers
1992,G4,88,Bulls
1992,G4,93,TrailBlazers
1992,G5,119,Bulls
1992,G5,106,TrailBlazers
1992,G6,93,TrailBlazers
1992,G6,97,Bulls
1993,G1,100,Bulls
1993,G1,92,Suns
1993,G2,111,Bulls
1993,G2,108,Suns
1993,G3,129,Suns
1993,G3,121,Bulls
1993,G4,105,Suns
1993,G4,111,Bulls
1993,G5,108,Suns
1993,G5,98,Bulls
1993,G6,99,Bulls
1993,G6,98,Suns
1994,G1,78,Knicks
1994,G1,85,Rockets
1994,G2,91,Knicks
1994,G2,83,Rockets
1994,G3,93,Rockets
1994,G3,89,Knicks
1994,G4,82,Rockets
1994,G4,91,Knicks
1994,G5,84,Rockets
1994,G5,91,Knicks
1994,G6,84,Knicks
1994,G6,86,Rockets
1994,G7,84,Knicks
1994,G7,90,Rockets
1995,G1,120,Rockets
1995,G1,118,Magic
1995,G2,117,Rockets
1995,G2,106,Magic
1995,G3,103,Magic
1995,G3,106,Rockets
1995,G4,101,Magic
1995,G4,113,Rockets
1996,G1,90,SuperSonics
1996,G1,107,Bulls
1996,G2,88,SuperSonics
1996,G2,92,Bulls
1996,G3,108,Bulls
1996,G3,86,SuperSonics
1996,G4,86,Bulls
1996,G4,107,SuperSonics
1996,G5,78,Bulls
1996,G5,89,SuperSonics
1996,G6,75,SuperSonics
1996,G6,87,Bulls
1997,G1,82,Jazz
1997,G1,84,Bulls
1997,G2,85,Jazz
1997,G2,97,Bulls
1997,G3,93,Bulls
1997,G3,104,Jazz
1997,G4,73,Bulls
1997,G4,78,Jazz
1997,G5,90,Bulls
1997,G5,88,Jazz
1997,G6,86,Jazz
1997,G6,90,Bulls
1998,G1,85,Bulls
1998,G1,88,Jazz
1998,G2,93,Bulls
1998,G2,88,Jazz
1998,G3,54,Jazz
1998,G3,96,Bulls
1998,G4,82,Jazz
1998,G4,86,Bulls
1998,G5,83,Jazz
1998,G5,81,Bulls
1998,G6,87,Bulls
1998,G6,86,Jazz
1999,G1,77,Knicks
1999,G1,89,Spurs
1999,G2,67,Knicks
1999,G2,80,Spurs
1999,G3,81,Spurs
1999,G3,89,Knicks
1999,G4,96,Spurs
1999,G4,89,Knicks
1999,G5,78,Spurs
1999,G5,77,Knicks
2000,G1,87,Pacers
2000,G1,104,Lakers
2000,G2,104,Pacers
2000,G2,111,Lakers
2000,G3,91,Lakers
2000,G3,100,Pacers
2000,G4,120,Lakers
2000,G4,118,Pacers
2000,G5,87,Lakers
2000,G5,120,Pacers
2000,G6,111,Pacers
2000,G6,116,Lakers
2001,G1,107,76ers
2001,G1,101,Lakers
2001,G2,89,76ers
2001,G2,98,Lakers
2001,G3,96,Lakers
2001,G3,91,76ers
2001,G4,100,Lakers
2001,G4,86,76ers
2001,G5,108,Lakers
2001,G5,96,76ers
2002,G1,94,Nets
2002,G1,99,Lakers
2002,G2,83,Nets
2002,G2,106,Lakers
2002,G3,106,Lakers
2002,G3,103,Nets
2002,G4,113,Lakers
2002,G4,107,Nets
2003,G1,89,Nets
2003,G1,101,Spurs
2003,G2,87,Nets
2003,G2,85,Spurs
2003,G3,84,Spurs
2003,G3,79,Nets
2003,G4,76,Spurs
2003,G4,77,Nets
2003,G5,93,Spurs
2003,G5,83,Nets
2003,G6,77,Nets
2003,G6,88,Spurs
2004,G1,87,Pistons
2004,G1,75,Lakers
2004,G2,91,Pistons
2004,G2,99,Lakers
2004,G3,68,Lakers
2004,G3,88,Pistons
2004,G4,80,Lakers
2004,G4,88,Pistons
2004,G5,87,Lakers
2004,G5,100,Pistons
2005,G1,69,Pistons
2005,G1,84,Spurs
2005,G2,76,Pistons
2005,G2,97,Spurs
2005,G3,79,Spurs
2005,G3,96,Pistons
2005,G4,71,Spurs
2005,G4,102,Pistons
2005,G5,96,Spurs
2005,G5,95,Pistons
2005,G6,95,Pistons
2005,G6,86,Spurs
2005,G7,74,Pistons
2005,G7,81,Spurs
2006,G1,80,Heat
2006,G1,90,Mavericks
2006,G2,85,Heat
2006,G2,99,Mavericks
2006,G3,96,Mavericks
2006,G3,98,Heat
2006,G4,74,Mavericks
2006,G4,98,Heat
2006,G5,100,Mavericks
2006,G5,101,Heat
2006,G6,95,Heat
2006,G6,92,Mavericks
2007,G1,76,Cavaliers
2007,G1,85,Spurs
2007,G2,92,Cavaliers
2007,G2,103,Spurs
2007,G3,75,Spurs
2007,G3,72,Cavaliers
2007,G4,83,Spurs
2007,G4,82,Cavaliers
2008,G1,88,Lakers
2008,G1,98,Celtics
2008,G2,102,Lakers
2008,G2,108,Celtics
2008,G3,81,Celtics
2008,G3,87,Lakers
2008,G4,97,Celtics
2008,G4,91,Lakers
2008,G5,98,Celtics
2008,G5,103,Lakers
2008,G6,92,Lakers
2008,G6,131,Celtics
2009,G1,75,Magic
2009,G1,100,Lakers
2009,G2,96,Magic
2009,G2,101,Lakers
2009,G3,104,Lakers
2009,G3,108,Magic
2009,G4,99,Lakers
2009,G4,91,Magic
2009,G5,99,Lakers
2009,G5,86,Magic
2010,G1,89,Celtics
2010,G1,102,Lakers
2010,G2,103,Celtics
2010,G2,94,Lakers
2010,G3,91,Lakers
2010,G3,84,Celtics
2010,G4,89,Lakers
2010,G4,96,Celtics
2010,G5,86,Lakers
2010,G5,92,Celtics
2010,G6,67,Celtics
2010,G6,89,Lakers
2010,G7,79,Celtics
2010,G7,83,Lakers
2011,G1,84,Mavericks
2011,G1,92,Heat
2011,G2,95,Mavericks
2011,G2,93,Heat
2011,G3,88,Heat
2011,G3,86,Mavericks
2011,G4,83,Heat
2011,G4,86,Mavericks
2011,G5,103,Heat
2011,G5,112,Mavericks
2011,G6,105,Mavericks
2011,G6,95,Heat
2012,G1,94,Heat
2012,G1,105,Thunder
2012,G2,100,Heat
2012,G2,96,Thunder
2012,G3,85,Thunder
2012,G3,91,Heat
2012,G4,98,Thunder
2012,G4,104,Heat
2012,G5,106,Thunder
2012,G5,121,Heat
2013,G1,92,Spurs
2013,G1,88,Heat
2013,G2,84,Spurs
2013,G2,103,Heat
2013,G3,77,Heat
2013,G3,113,Spurs
2013,G4,109,Heat
2013,G4,93,Spurs
2013,G5,104,Heat
2013,G5,114,Spurs
2013,G6,100,Spurs
2013,G6,103,Heat
2013,G7,88,Spurs
2013,G7,95,Heat
2014,G1,95,Heat
2014,G1,110,Spurs
2014,G2,98,Heat
2014,G2,96,Spurs
2014,G3,111,Spurs
2014,G3,92,Heat
2014,G4,107,Spurs
2014,G4,86,Heat
2014,G5,87,Heat
2014,G5,104,Spurs
2015,G1,100,Cavaliers
2015,G1,108,Warriors
2015,G2,95,Cavaliers
2015,G2,93,Warriors
2015,G3,91,Warriors
2015,G3,96,Cavaliers
2015,G4,103,Warriors
2015,G4,82,Cavaliers
2015,G5,91,Cavaliers
2015,G5,104,Warriors
2015,G6,105,Warriors
2015,G6,97,Cavaliers
2016,G1,89,Cavaliers
